product_name,brands,target,image_url,nutriscore_grade
Miss green tea,Desir De Vrai,beverages,https://images.openfoodfacts.org/images/products/370/011/107/8666/front_fr.4.400.jpg,c
Jus de gingembre,,beverages,https://images.openfoodfacts.org/images/products/396/837/422/3456/front_fr.3.400.jpg,e
Ben's ginge,San Benedetto,beverages,https://images.openfoodfacts.org/images/products/800/162/030/1036/front_fr.3.400.jpg,unknown
fresubin,Fresubin Kabi,beverages,https://images.openfoodfacts.org/images/products/405/189/500/2682/front_fr.11.400.jpg,c
Plantasia Plantasia Vrac Conditionné Thé Vert à La Menthe Bio,Plantasia,beverages,,b
Pago Tomate 20CL (Pack De 12),Pago,beverages,https://images.openfoodfacts.org/images/products/900/251/555/2082/front_fr.10.400.jpg,b
Zesty Orange,Fibe,beverages,https://images.openfoodfacts.org/images/products/507/000/055/0077/front_en.15.400.jpg,c
Eric Favre Detox Vegan élimine Et Draine,Eric Favre,beverages,,b
Boisson Terracai à L'acai Bio,Terraçai,beverages,https://images.openfoodfacts.org/images/products/324/834/005/4636/front_fr.9.400.jpg,d
Radieschen-apfel Saft Zdravo Organic,Zdravo,beverages,https://images.openfoodfacts.org/images/products/860/010/395/4563/front_fr.8.400.jpg,d
Casino Ice Tea -peach,Casino,beverages,https://images.openfoodfacts.org/images/products/322/247/270/6717/front_fr.8.400.jpg,c
Biss'ap infusion hibiscus menthe bio,,beverages,https://images.openfoodfacts.org/images/products/377/001/071/9243/front_fr.3.400.jpg,d
Ananas selection,"Parmalat, Santal",beverages,https://images.openfoodfacts.org/images/products/800/258/004/0973/front_fr.4.400.jpg,unknown
Carnitine Activity Drink ostružina + limetka,Nutrend,beverages,https://images.openfoodfacts.org/images/products/859/407/317/5519/front_cs.16.400.jpg,c
Cacao du gouter,Quai sud,beverages,https://images.openfoodfacts.org/images/products/366/205/100/3996/front_fr.4.400.jpg,e
San Benedetto Gazéifiée,,beverages,https://images.openfoodfacts.org/images/products/800/162/044/6560/front_fr.3.400.jpg,unknown
Camlica,Portakal,beverages,https://images.openfoodfacts.org/images/products/869/050/451/9072/front_fr.12.400.jpg,d
Jus de Pomme Bio,Les Fées Du Bio,beverages,https://images.openfoodfacts.org/images/products/376/022/457/0136/front_fr.27.400.jpg,e
Pur jus d’Ananas,,beverages,https://images.openfoodfacts.org/images/products/000/003/546/8035/front_fr.3.400.jpg,e
Ciocco cocco,DolceVita,beverages,https://images.openfoodfacts.org/images/products/803/340/647/8977/front_fr.8.400.jpg,e
Succo e polpa albicocca,Coal,beverages,https://images.openfoodfacts.org/images/products/800/434/890/1731/front_it.10.400.jpg,e
Grave Latour,,beverages,,unknown
Coffee stick gold,Gold,beverages,,b
15 Infusion Peaceful Night,Tchaba,beverages,https://images.openfoodfacts.org/images/products/611/125/536/0659/front_fr.4.400.jpg,b
Clinutren,Nestlé,beverages,https://images.openfoodfacts.org/images/products/761/303/954/5386/front_fr.8.400.jpg,unknown
Jus de legume,Gaspard,beverages,https://images.openfoodfacts.org/images/products/323/633/000/9667/front_fr.4.400.jpg,c
"Epicerie / Thé Bio Et équitable / Tisanes, Infusions",Lebensbaum,beverages,https://images.openfoodfacts.org/images/products/401/234/677/4305/front_fr.4.400.jpg,b
Chia Birds,Awaken The Gods,beverages,https://images.openfoodfacts.org/images/products/912/006/918/0022/front_fr.4.400.jpg,c
Jaigo,Jaigo,beverages,https://images.openfoodfacts.org/images/products/327/179/283/6710/front_fr.4.400.jpg,e
Cedrata,Spuma Alpina,beverages,https://images.openfoodfacts.org/images/products/800/667/215/1097/front_fr.3.400.jpg,e
Soupe fine Carotte Cumin,Cap Bio,beverages,https://images.openfoodfacts.org/images/products/376/007/107/2036/front_fr.16.400.jpg,c
Jus De Canneberge Bio Concentré - 500 ML - Biotona,Biotona,beverages,,e
Pulpe D'Aloé Vera - 500 ML - NaturAloé,Natur Aloé,beverages,https://images.openfoodfacts.org/images/products/376/010/145/0506/front_fr.4.400.jpg,b
Bio Limonata,Galvanina,beverages,,e
Café,Santo Domingo,beverages,https://images.openfoodfacts.org/images/products/074/832/500/0069/front_fr.5.400.jpg,unknown
San Benedetto,San Benedetto,beverages,https://images.openfoodfacts.org/images/products/800/162/000/1905/front_fr.3.400.jpg,b
Sparkling Apple non alcoholic,Bel Normande,beverages,https://images.openfoodfacts.org/images/products/325/655/539/4003/front_fr.14.400.jpg,c
Pure detox,Natural Mojo,beverages,https://images.openfoodfacts.org/images/products/425/134/760/0064/front_fr.10.400.jpg,c
Tymbark Apple and Mint Nectar Drink 2 Litre,,beverages,,e
Ginger people ginger juice,The ginger party,beverages,https://images.openfoodfacts.org/images/products/073/402/797/1608/front_fr.18.400.jpg,d
Pommes Poires,Lacroix,beverages,https://images.openfoodfacts.org/images/products/377/000/033/5026/front_fr.16.400.jpg,e
Villa Massa Limoncello,Villa Massa,beverages,https://images.openfoodfacts.org/images/products/803/341/343/0036/front_de.7.400.jpg,unknown
Pacific sensation menthe,PACIFIC,beverages,https://images.openfoodfacts.org/images/products/316/393/703/2081/front_fr.4.400.jpg,b
Eau gazeuze,San Benedetto,beverages,https://images.openfoodfacts.org/images/products/800/162/001/3373/front_fr.9.400.jpg,unknown
